BodyTalk_1, animations/Stand/BodyTalk/BodyTalk_1, body language
BodyTalk_10, animations/Stand/BodyTalk/BodyTalk_10, body language
BodyTalk_11, animations/Stand/BodyTalk/BodyTalk_11, body language
BodyTalk_12, animations/Stand/BodyTalk/BodyTalk_12, body language
BodyTalk_13, animations/Stand/BodyTalk/BodyTalk_13, body language
BodyTalk_14, animations/Stand/BodyTalk/BodyTalk_14, body language
BodyTalk_15, animations/Stand/BodyTalk/BodyTalk_15, body language
BodyTalk_16, animations/Stand/BodyTalk/BodyTalk_16, body language
BodyTalk_2, animations/Stand/BodyTalk/BodyTalk_2, body language
BodyTalk_3, animations/Stand/BodyTalk/BodyTalk_3, body language
BodyTalk_4, animations/Stand/BodyTalk/BodyTalk_4, body language
BodyTalk_5, animations/Stand/BodyTalk/BodyTalk_5, body language
BodyTalk_6, animations/Stand/BodyTalk/BodyTalk_6, body language
BodyTalk_7, animations/Stand/BodyTalk/BodyTalk_7, body language
BodyTalk_8, animations/Stand/BodyTalk/BodyTalk_8, body language
BodyTalk_9, animations/Stand/BodyTalk/BodyTalk_9, body language
Bored_1, animations/Stand/Emotions/Negative/Bored_1, bored
Embarrassed_1, animations/Stand/Emotions/Neutral/Embarrassed_1, ashamed; bashful; embarrassed; modest; shamefaced; shy; timid; uncomfortable
Happy_4, animations/Stand/Emotions/Positive/Happy_4, happy; joyful; winner
Hysterical_1, animations/Stand/Emotions/Positive/Hysterical_1, crazy; excited; happy; hysterical
Peaceful_1, animations/Stand/Emotions/Positive/Peaceful_1, calm; cool; peaceful; quiet
BowShort_1, animations/Stand/Gestures/BowShort_1, bow
But_1, animations/Stand/Gestures/But_1, but; except; unless
CalmDown_1, animations/Stand/Gestures/CalmDown_1, allright; appease; assuage; attemper; becalm; calm; cool; gentle; mollify; pacify; placate; quiet; soothe
CalmDown_5, animations/Stand/Gestures/CalmDown_5, allright; appease; assuage; attemper; becalm; calm; cool; gentle; mollify; pacify; placate; quiet; soothe
CalmDown_6, animations/Stand/Gestures/CalmDown_6, allright; appease; assuage; attemper; becalm; calm; cool; gentle; mollify; pacify; placate; quiet; soothe
Choice_1, animations/Stand/Gestures/Choice_1, choice; choose; or; pick; select
